Total,Bench,Date,Item
1500,78,06/01/23,DummySkill1
213,59,06/01/23,DummySkill2
219,36,06/01/23,DummySkill3
103,15,06/01/23,DummySkill4
258,45,06/01/23,DummySkill5
383,36,06/01/23,DummySkill6
814,102,06/01/23,DummySkill7
70,9,06/01/23,DummySkill8
1480,60,13/01/23,DummySkill1
211,58,13/01/23,DummySkill2
218,36,13/01/23,DummySkill3
102,16,13/01/23,DummySkill4
257,41,13/01/23,DummySkill5
381,34,13/01/23,DummySkill6
819,97,13/01/23,DummySkill7
70,10,13/01/23,DummySkill8
1460,66,20/01/23,DummySkill1
211,57,20/01/23,DummySkill2
216,40,20/01/23,DummySkill3
102,14,20/01/23,DummySkill4
254,36,20/01/23,DummySkill5
380,31,20/01/23,DummySkill6
815,94,20/01/23,DummySkill7
71,10,20/01/23,DummySkill8
1498,64,27/01/23,DummySkill1
209,54,27/01/23,DummySkill2
216,38,27/01/23,DummySkill3
103,15,27/01/23,DummySkill4
256,39,27/01/23,DummySkill5
380,33,27/01/23,DummySkill6
813,91,27/01/23,DummySkill7
71,12,27/01/23,DummySkill8
377,28,27/01/23,DummySkill9
833,95,27/01/23,DummySkill10
478,57,27/01/23,DummySkill11
1495,69,03/02/23,DummySkill1
205,49,03/02/23,DummySkill2
214,46,03/02/23,DummySkill3
103,15,03/02/23,DummySkill4
252,47,03/02/23,DummySkill5
376,37,03/02/23,DummySkill6
805,97,03/02/23,DummySkill7
72,13,03/02/23,DummySkill8
377,34,03/02/23,DummySkill9
831,103,03/02/23,DummySkill10
476,59,03/02/23,DummySkill11
1463,66,10/02/23,DummySkill1
203,49,10/02/23,DummySkill2
211,49,10/02/23,DummySkill3
103,13,10/02/23,DummySkill4
249,47,10/02/23,DummySkill5
376,40,10/02/23,DummySkill6
803,91,10/02/23,DummySkill7
72,12,10/02/23,DummySkill8
376,32,10/02/23,DummySkill9
831,101,10/02/23,DummySkill10
478,55,10/02/23,DummySkill11
1454,64,17/02/23,DummySkill1
200,40,17/02/23,DummySkill2
208,40,17/02/23,DummySkill3
102,12,17/02/23,DummySkill4
247,40,17/02/23,DummySkill5
373,39,17/02/23,DummySkill6
805,88,17/02/23,DummySkill7
73,12,17/02/23,DummySkill8
376,32,17/02/23,DummySkill9
829,98,17/02/23,DummySkill10
439,51,17/02/23,DummySkill11
1438,61,24/02/23,DummySkill1
199,40,24/02/23,DummySkill2
199,36,24/02/23,DummySkill3
103,11,24/02/23,DummySkill4
246,37,24/02/23,DummySkill5
371,37,24/02/23,DummySkill6
806,80,24/02/23,DummySkill7
72,10,24/02/23,DummySkill8
375,30,24/02/23,DummySkill9
826,95,24/02/23,DummySkill10
434,44,24/02/23,DummySkill11
1430,62,03/03/23,DummySkill1
195,40,03/03/23,DummySkill2
198,28,03/03/23,DummySkill3
102,12,03/03/23,DummySkill4
244,37,03/03/23,DummySkill5
368,29,03/03/23,DummySkill6
787,86,03/03/23,DummySkill7
71,7,03/03/23,DummySkill8
373,29,03/03/23,DummySkill9
820,98,03/03/23,DummySkill10
430,62,03/03/23,DummySkill11
1490,59,10/03/23,DummySkill1
195,39,10/03/23,DummySkill2
198,28,10/03/23,DummySkill3
109,13,10/03/23,DummySkill4
243,35,10/03/23,DummySkill5
367,24,10/03/23,DummySkill6
784,76,10/03/23,DummySkill7
68,4,10/03/23,DummySkill8
373,27,10/03/23,DummySkill9
817,92,10/03/23,DummySkill10
426,58,10/03/23,DummySkill11
